,ir_11,ir_12,ir_13,ir_14,ir_15,ir_16,r_11,r_12,r_13,r_14,r_15,r_16,cr_11,cr_12,cr_13,cr_14,cr_15,cr_16
0,2.37,0.48,1.0,0.59,3.85,0.96,7.75,8.0,8.25,5.5,15.0,11.0,1.18606495865,1.189207115,1.19226051788,1.15264850358,1.25316311886,1.22118855031
1,0.78,0.39,0.56,0.7,2.22,0.63,8.0,8.0,8.25,5.5,15.0,11.0,1.189207115,1.189207115,1.19226051788,1.15264850358,1.25316311886,1.22118855031
2,0.6,0.58,0.34,1.02,1.21,0.46,8.0,8.0,8.25,7.0,14.0,11.0,1.189207115,1.189207115,1.19226051788,1.17604742858,1.2459788478,1.22118855031
3,0.43,0.3,0.51,0.9,0.46,0.44,8.0,8.0,8.25,7.5,12.5,11.0,1.189207115,1.189207115,1.19226051788,1.18282847749,1.23426714246,1.22118855031
4,0.48,0.52,0.66,0.9,0.35,0.41,8.25,8.0,8.25,7.5,12.5,11.0,1.19226051788,1.189207115,1.19226051788,1.18282847749,1.23426714246,1.22118855031
5,0.23,0.87,0.42,0.62,0.19,0.36,8.25,8.0,8.25,7.5,11.5,10.5,1.19226051788,1.189207115,1.19226051788,1.18282847749,1.2257206045,1.21646357228
6,0.0,1.25,0.82,0.49,0.8,0.54,8.25,8.0,8.25,8.0,11.5,10.5,1.19226051788,1.189207115,1.19226051788,1.189207115,1.2257206045,1.21646357228
7,-0.23,0.08,0.14,0.24,0.35,0.01,8.25,8.0,8.25,8.0,11.0,10.5,1.19226051788,1.189207115,1.19226051788,1.189207115,1.22118855031,1.21646357228
8,-0.06,0.56,0.21,0.65,0.57,0.17,8.25,8.25,5.5,8.0,11.0,10.0,1.19226051788,1.19226051788,1.15264850358,1.189207115,1.22118855031,1.21152765863
9,0.48,0.45,0.57,0.82,0.74,0.43,8.25,8.25,5.5,9.5,11.0,10.0,1.19226051788,1.19226051788,1.15264850358,1.20636010696,1.22118855031,1.21152765863
10,0.42,0.34,0.57,1.28,0.75,0.44,8.25,8.25,5.5,9.5,11.0,0.0,1.19226051788,1.19226051788,1.15264850358,1.20636010696,1.22118855031,0.0
11,0.45,0.53,0.5,2.62,0.77,0.4,8.0,8.25,5.5,17.0,11.0,0.0,1.189207115,1.19226051788,1.15264850358,1.26630234206,1.22118855031,0.0
